"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","response","id_correct"
"68","india-socioling","zenith","Z03C02",3,3,7.75806451612903,-2.84715345503042,"male","muslim","hindi","hindi","hindi",58,"id","Gujarati","gujarati","audio","female","urdu",0
"69","india-socioling","zenith","Z03C02",3,3,7.75806451612903,-2.84715345503042,"male","muslim","hindi","hindi","hindi",59,"id","English (India)","english","audio","female","english",1
"70","india-socioling","zenith","Z03C02",3,3,7.75806451612903,-2.84715345503042,"male","muslim","hindi","hindi","hindi",60,"id","Mandarin","chinese","audio","female","english",0
"71","india-socioling","zenith","Z03C02",3,3,7.75806451612903,-2.84715345503042,"male","muslim","hindi","hindi","hindi",61,"id","Tamil","tamil","audio","female","chinese",0
"72","india-socioling","zenith","Z03C02",3,3,7.75806451612903,-2.84715345503042,"male","muslim","hindi","hindi","hindi",62,"id","Urdu","urdu","audio","female","english",0
"73","india-socioling","zenith","Z03C04",3,3,9,-1.60521797115945,"male","muslim","gujarati","gujarati","gujarati hindi",55,"id","Marathi","marathi","audio","female","chinese",0
"74","india-socioling","zenith","Z03C04",3,3,9,-1.60521797115945,"male","muslim","gujarati","gujarati","gujarati hindi",56,"id","English (U.S.)","english","audio","female","english",1
"75","india-socioling","zenith","Z03C04",3,3,9,-1.60521797115945,"male","muslim","gujarati","gujarati","gujarati hindi",57,"id","Hindi","hindi","audio","female","hindi",1
"76","india-socioling","zenith","Z03C04",3,3,9,-1.60521797115945,"male","muslim","gujarati","gujarati","gujarati hindi",58,"id","Gujarati","gujarati","audio","female","gujarati",1
"77","india-socioling","zenith","Z03C04",3,3,9,-1.60521797115945,"male","muslim","gujarati","gujarati","gujarati hindi",59,"id","English (India)","english","audio","female","english",1
"78","india-socioling","zenith","Z03C04",3,3,9,-1.60521797115945,"male","muslim","gujarati","gujarati","gujarati hindi",60,"id","Mandarin","chinese","audio","female","chinese",1
"79","india-socioling","zenith","Z03C04",3,3,9,-1.60521797115945,"male","muslim","gujarati","gujarati","gujarati hindi",61,"id","Tamil","tamil","audio","female","chinese",0
"80","india-socioling","zenith","Z03C04",3,3,9,-1.60521797115945,"male","muslim","gujarati","gujarati","gujarati hindi",62,"id","Urdu","urdu","audio","female","hindi",0
"81","india-socioling","zenith","Z03C06",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",59,"id","Urdu","urdu","audio","female","christian",0
"82","india-socioling","zenith","Z03C06",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",60,"id","Hindi","hindi","audio","female","hindi",1
"83","india-socioling","zenith","Z03C06",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",61,"id","English (India)","english","audio","female","christian",0
"84","india-socioling","zenith","Z03C06",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",62,"id","English (U.S.)","english","audio","female","tamil",0
"85","india-socioling","zenith","Z03C06",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",63,"id","Marathi","marathi","audio","female","gujarati",0
"86","india-socioling","zenith","Z03C06",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",64,"id","Mandarin","chinese","audio","female","marathi",0
"87","india-socioling","zenith","Z03C06",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",65,"id","Tamil","tamil","audio","female","christian",0
"88","india-socioling","zenith","Z03C06",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",66,"id","Gujarati","gujarati","audio","female","gujarati",1
"89","india-socioling","zenith","Z03C07",3,3,8.6,-2.00521797115946,"male","hindu","gujarat","gujarati","gujarat hindi",55,"id","Marathi","marathi","audio","female","tamil",0
"90","india-socioling","zenith","Z03C07",3,3,8.6,-2.00521797115946,"male","hindu","gujarat","gujarati","gujarat hindi",56,"id","English (U.S.)","english","audio","female","english",1
"91","india-socioling","zenith","Z03C07",3,3,8.6,-2.00521797115946,"male","hindu","gujarat","gujarati","gujarat hindi",57,"id","Hindi","hindi","audio","female","tamil",0
"92","india-socioling","zenith","Z03C07",3,3,8.6,-2.00521797115946,"male","hindu","gujarat","gujarati","gujarat hindi",58,"id","Gujarati","gujarati","audio","female","gujarati",1
"93","india-socioling","zenith","Z03C07",3,3,8.6,-2.00521797115946,"male","hindu","gujarat","gujarati","gujarat hindi",59,"id","English (India)","english","audio","female","urdu",0
"94","india-socioling","zenith","Z03C07",3,3,8.6,-2.00521797115946,"male","hindu","gujarat","gujarati","gujarat hindi",60,"id","Mandarin","chinese","audio","female","chinese",1
"95","india-socioling","zenith","Z03C07",3,3,8.6,-2.00521797115946,"male","hindu","gujarat","gujarati","gujarat hindi",61,"id","Tamil","tamil","audio","female","urdu",0
"96","india-socioling","zenith","Z03C07",3,3,8.6,-2.00521797115946,"male","hindu","gujarat","gujarati","gujarat hindi",62,"id","Urdu","urdu","audio","female","hindi",0
"97","india-socioling","zenith","Z03C09",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",59,"id","Urdu","urdu","audio","female","urdu",1
"98","india-socioling","zenith","Z03C09",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",60,"id","Hindi","hindi","audio","female","hindi",1
"99","india-socioling","zenith","Z03C09",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",61,"id","English (India)","english","audio","female","chinese",0
"100","india-socioling","zenith","Z03C09",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",62,"id","English (U.S.)","english","audio","female","english",1
"101","india-socioling","zenith","Z03C09",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",63,"id","Marathi","marathi","audio","female","tamil",0
"102","india-socioling","zenith","Z03C09",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",64,"id","Mandarin","chinese","audio","female","chinese",1
"103","india-socioling","zenith","Z03C09",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",65,"id","Tamil","tamil","audio","female","tamil",1
"104","india-socioling","zenith","Z03C09",3,3,8,-2.60521797115945,"male","muslim","hindi","hindi","hindi",66,"id","Gujarati","gujarati","audio","female","tamil",0
"105","india-socioling","zenith","Z03C10",3,3,8.4,-2.20521797115945,"male","hindu","marathi","marathi","marathi",55,"id","Marathi","marathi","audio","female","marathi",1
"106","india-socioling","zenith","Z03C10",3,3,8.4,-2.20521797115945,"male","hindu","marathi","marathi","marathi",56,"id","English (U.S.)","english","audio","female","english",1
"107","india-socioling","zenith","Z03C10",3,3,8.4,-2.20521797115945,"male","hindu","marathi","marathi","marathi",57,"id","Hindi","hindi","audio","female","hindi",1
"108","india-socioling","zenith","Z03C10",3,3,8.4,-2.20521797115945,"male","hindu","marathi","marathi","marathi",58,"id","Gujarati","gujarati","audio","female","gujarati",1
"109","india-socioling","zenith","Z03C10",3,3,8.4,-2.20521797115945,"male","hindu","marathi","marathi","marathi",59,"id","English (India)","english","audio","female","english",1
"110","india-socioling","zenith","Z03C10",3,3,8.4,-2.20521797115945,"male","hindu","marathi","marathi","marathi",60,"id","Mandarin","chinese","audio","female","chinese",1
"111","india-socioling","zenith","Z03C10",3,3,8.4,-2.20521797115945,"male","hindu","marathi","marathi","marathi",61,"id","Tamil","tamil","audio","female","chinese",0
"112","india-socioling","zenith","Z03C10",3,3,8.4,-2.20521797115945,"male","hindu","marathi","marathi","marathi",62,"id","Urdu","urdu","audio","female","hindi",0
"113","india-socioling","zenith","Z03C14",3,3,8.1,-2.50521797115946,"male","hindu","marathi","marathi","marathi gujarati",55,"id","Marathi","marathi","audio","female","gujarati",0
"114","india-socioling","zenith","Z03C14",3,3,8.1,-2.50521797115946,"male","hindu","marathi","marathi","marathi gujarati",56,"id","English (U.S.)","english","audio","female","english",1
"115","india-socioling","zenith","Z03C14",3,3,8.1,-2.50521797115946,"male","hindu","marathi","marathi","marathi gujarati",57,"id","Hindi","hindi","audio","female","hindi",1
"116","india-socioling","zenith","Z03C14",3,3,8.1,-2.50521797115946,"male","hindu","marathi","marathi","marathi gujarati",58,"id","Gujarati","gujarati","audio","female","gujarati",1
"117","india-socioling","zenith","Z03C14",3,3,8.1,-2.50521797115946,"male","hindu","marathi","marathi","marathi gujarati",59,"id","English (India)","english","audio","female","english",1
"118","india-socioling","zenith","Z03C14",3,3,8.1,-2.50521797115946,"male","hindu","marathi","marathi","marathi gujarati",60,"id","Mandarin","chinese","audio","female","chinese",1
